Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉	多米尼克・拉伯：政府不能为西班牙的隔离决定道歉	Dominic Raab ：政府不能为西班牙的检疫决定道歉
Dominic Raab has defended the Government's decision to re-introduce quarantine measures on Spain at short notice.	针对政府突然做出重新对西班牙实施隔离措施的决定，Dominic Raab 做出了辩解。	多米尼克・拉伯为政府决定在短时间内重新引入西班牙的检疫措施进行了辩护。	Dominic Raab 为政府决定在短时间内重新引入西班牙检疫措施进行了辩护。
Ministers announced on Saturday that holidaymakers who had not returned from Spain and its islands by midnight would be forced to self-isolate for 14 days.	部长们于周六宣布，如果度假者未能在午夜之前从西班牙及其离岛返回，将需要强制自我隔离 14 天。	部长们星期六宣布，到午夜时分没有从西班牙及其岛屿返回的度假者将被迫自我隔离 14 天。	部长们星期六宣布，在午夜之前没有从西班牙及其岛屿返回的度假者将被迫自我隔离 14 天。
The country had been on a list of "travel corridor" nations deemed safe to visit by Downing Street, but a recent surge in coronavirus cases has sparked fears of a second wave of the disease.	西班牙一直在唐宁街制定的可以安全旅行的“旅行走廊”名单上，然而，新冠病毒病例近期激增，引发了公众对第二波疫情的担忧。	这个国家已经列入了唐宁街安全访问的 “旅游走廊” 国家名单，但最近冠状病毒病例的激增引发了人们对第二波疾病的担忧。	该国已被列入唐宁街认为安全访问的 “旅游走廊” 国家名单，但最近冠状病毒病例的激增引发了人们对第二波疾病的担忧。
On Sunday, the Foreign Secretary defended the sudden reimposition of restrictions as a "real-time response" to a worrying spike in infections reported in the region.	周日，针对突然重新实施旅行限制措施，外交大臣做出了辩解，称此举是对该地区报告的感染病例激增做出的“实时反应”。	星期天，外交大臣为突然重新实施限制措施辩解，认为这是 "实时反应" ，以应对该区域报告的感染病例的令人担忧的激增。	星期天，外交大臣为突然重新施加限制辩解，认为这是一个 “实时反应”，以应对该地区报告的感染病例激增。
He said the situation was then assessed yesterday afternoon "and we took the decision as swiftly as we could."	他表示已于前一天下午对局势进行了评估，“我们尽快做出了决定。”	他说，当时的情况在昨天下午进行了评估， "我们尽快作出决定" 。	他说，当时的情况是昨天下午评估的， "我们尽快作出决定" 。
"We can't make apologies for doing so," he added.	他还补充道：“我们不能为此道歉。”	“我们不能为此道歉，” 他补充说。	“我们不能为这样做道歉，” 他补充说。
"We must be able to take swift, decisive action, particularly in relation to localised, or internationally in relation to Spain or a particular country, where we see we must take action."	“我们必须有能力采取迅速、果断的行动，特别是在关系到本土或西班牙及特定国家的情况下，我们必须采取行动。”	"我们必须能够采取迅速、果断的行动，特别是针对本地化的行动，或针对西班牙或某一特定国家的国际行动，我们认为我们必须采取行动" 。	我们必须能够采取迅速、果断的行动，特别是在与西班牙或某个特定国家相关的本地化或国际上，我们认为我们必须采取行动。 "
"Otherwise, we risk re-infection into the UK, potentially a second wave here and then another lockdown."	“否则，英国会再次面临感染风险，引发第二波疫情，然后再次实施封锁。”	“否则，我们可能会再次感染英国，可能会在这里第二次出现，然后再一次关闭。”	“否则，我们就有可能再次感染到英国，这可能是第二次浪潮，然后再一次封锁。”
Transport secretary among Spain holidaymakers forced to quarantine	运输大臣与前往西班牙的度假者一样面临强制隔离	西班牙的交通部长被迫隔离	西班牙度假者被迫隔离的交通部长
The decision was made after Spain recorded more than 900 new daily Covid-19 cases for two days running.	在西班牙连续两天报告每日新增新冠病例突破 900 个之后，政府做出了这一决定。	该决定是在西班牙记录了 900 多个新的每日 Covid - 19 案件两天后作出的。	该决定是在西班牙连续两天记录了 900 多个新的 Covid - 19 病例后做出的。
The Foreign Secretary acknowledged that many tourists had been left with no time to cancel or alter their plans.	外交大臣承认，很多游客都来不及取消或更改他们的旅行计划。	外交大臣承认，许多旅游者没有时间取消或改变他们的计划。	外交大臣承认，许多游客没有时间取消或改变他们的计划。
