乡村振兴，人才是关键。	Talent is the key to rural revitalization.	Rural revitalization, talent is key.	Rural revitalization, talent is key.
人才哪里找？	Where is talent found?	Where to find people?	Where to find talent?
优秀返乡农民工群体是不可或缺的生力军。	Outstanding returning rural migrant workers are an indispensable force in the fight.	Excellent groups of returning migrant workers are indispensable.	Excellent returning migrant workers are indispensable new force.
新华社发 商海春 作	Published by Xinhua News Agency Author: Shang Haichun	Xinhua News Agency	Xinhua News Agency
新华社成都7月26日电 题：把优秀返乡农民工打造成乡村振兴生力军	Xinhua News Agency, reported July 26th Headline: Outstanding returning rural migrant workers can be a force for rural revitalization - Xinhuanet	Xinhua News Agency Chengdu, July 26: Make outstanding returning migrant workers into a rural revitalization force	Xinhua News Agency Chengdu, July 26: Outstanding returning migrant workers into rural revitalization force
今年34岁的张雄家在四川眉山市果园村，2010年他辞掉北京月薪上万的工作返乡创业。	Zhang Xiong, age 34, is a resident of Guoyuan Village in Meishan City, Sichuan Province who quit his job with a salary over 10,000 yuan in Beijing and returned to his hometown to start a business in 2010.	Zhang Xiong, 34, returned to his hometown in 2010 after quitting his job in Beijing with a monthly salary of tens of thousands.	Zhang Xiong, 34, is based in Orchard Village, Meishan City, Sichuan Province. In 2010, he quit his job in Beijing with a monthly salary of tens of thousands and returned home
经过几年打拼，如今他经营的葡萄种植家庭农场年收入超过百万元，成为小有名气的致富带头人，还被选拔进入村“两委”班子。	After a few years of effort, his family’s vinery now earns an annual income of over a million yuan, he has gained a small amount of fame for being a wealth creator, and he has also been selected as a member of the village’s “Two Committees”.	After a few years of struggle, he now runs a wine-growing family farm with an annual income of more than $1 million, becoming a well-known leader in wealth, and is selected to enter the village's "two committees."	After several years of hard work, he now runs a wine-growing family farm with an annual income of more than one million yuan, becoming a well-known leader in getting rich, and was selected into the village "two committees" team.
近年来，在国家脱贫攻坚、乡村振兴等一系列支农惠农政策激励感召下，越来越多像张雄一样的优秀农民工选择返乡创业，激活了乡村一池春水。	In recent years, national policies to alleviate poverty, revitalize rural areas, and benefit farmers and agriculture have inspired an increasing number of people outstanding migrant workers like Zhang Xiong to return to their hometowns to start their own businesses, which has become a new source of growth for rural areas.	In recent years, under the inspiration of a series of agricultural and welfare policies such as national poverty alleviation and rural revitalization, more and more outstanding rural workers like Zhang Xiong have chosen to return to their villages and start businesses, activating a rural spring.	In recent years, inspired by a series of policies such as national poverty alleviation and rural revitalization, more and more outstanding migrant workers like Zhang Xiong have chosen to return home to start businesses, activating a pool of spring water in rural areas.
我国西部人口大省、劳务输出大省四川，因势利导实施“优秀农民工回引培养工程”，仅2019年，就从回引的优秀农民工中产生村党支部书记8000余名，培育村后备力量6.1万名，发展党员2万余名，为打赢脱贫攻坚战和实施乡村振兴战略提供有力保证。	Sichuan is a western Chinese province with a large population and that produces high labor outflows, but thanks to the province’s “Outstanding Rural Migrant Worker Return Incentives and Cultivation Project”, in 2019 alone, the program has produced more than 8,000 village party branch secretaries from returned outstanding rural migrant workers, brought back and cultivated a labor force of 61,000 for villages, and produced over 20,000 new Party members, creating a powerful guarantee in the fight to eliminate poverty and implement rural revitalization strategies.	In 2019 alone, more than 8,000 village party branch secretaries and 61,000 village reserve members have been raised from among the outstanding rural workers, and 20,000 development party members have been nurtured.	Sichuan, a large population province in western China and a large labor export province, implemented the "Excellent Migrant Worker Training Project." In 2019 alone, more than 8,000 village party branch secretaries were generated from the outstanding migrant workers.
小康不小康，关键看老乡。	Hometowns are the key to moderate prosperity.	He is not happy, but looks at the old town.	Well-off is not well-off, the key to look at the old hometown.
改革开放以来，我国农村大量青壮年劳动力外出务工增收，有的通过打拼创办了自己的企业。	Since reform and opening up, huge numbers of young in China have left rural villages to seek work elsewhere, and some, through their own hard work, have managed to start their own companies.	Since the reform and opening up, a large number of young people in rural China have gone out to work to increase their income, some of them starting their own enterprises through struggle	Since the reform and opening up, a large number of young adult workers in rural China have gone abroad to increase their income, and some have started their own enterprises through hard work.
